"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"1",195,"Petrobras","PETR4",223990959.39,"PN",78.95527875,25.714245506,10.575673837,18.021072793,73495177,85.162940556,44.904727155,103.09514565,114.45679017,5.8415024186,0.025111812246,35.227511231,0.65220359874,0.07432405711,32394376
"2",265,"Vale","VALE3",136641588.48,"ON",201.03251829,35.182057257,11.686891927,15.072710629,38385371,331.69712624,44.319620903,127.56561726,400.87138065,10.72900283,0.097578155762,28.157835032,1.3578533403,0.10689201004,8217286
"3",9,"Ambev S/A","ABEV3",56506644.37,"ON",716.37939172,17.416902956,8.2281569653,14.15701159,13735622,61.476907868,63.311635046,74.909570114,151.31353295,5.4955841155,0.40145018011,43.305263158,0.046291290008,0.32316212334,1045491
"4",80,"Eletrobras","ELET3",28927983.3,"ON",191.2172004,7.653289375,4.4542954416,3.9563304965,30066350,1705.2005369,31.840980031,44.801397996,16.229262371,7.6805318504,0.21838713026,59.363516007,1.8615701713,0.10795907856,3177265
"5",227,"Sid Nacional","CSNA3",22001430,"ON",60.626764024,76.557268437,18.332122177,28.776600789,7026489,526.50769627,218.37128179,66.421750023,39.850600774,4.56971153,0.046528645405,48.500847249,1.1628078194,0.061012164552,2668079
"6",248,"Telef Brasil","VIVT4",21237408.105,"PN",205.51167934,24.43121531,12.104691429,18.90206584,7252577,48.700848762,37.192002303,196.34987346,-0.65005802616,8.705444786,0.20414014385,88.059028211,0.82643726359,0.52271438195,699266
"7",108,"Gerdau","GGBR4",19901731.6,"PN",59.546185051,29.713224514,8.374013476,16.612959562,10888899,232.78991672,92.773628433,45.609163333,314.48436523,4.5474220828,-0.073524338898,14.195022854,0.69811809869,0.055934249777,467076
"8",185,"Oi","OIBR3",17916017.317,"ON",-99.633359859,18.407793423,5.8175102608,13.124847352,5087417,4107.267195,78.360000872,54.381085983,15.295467755,46.981675778,-0.49115632999,3412.6291184,9.1166702079,-0.82257883179,1684468
"9",63,"CPFL Energia","CPFE3",14469316.65,"ON",274.88910583,25.490192968,7.9138545107,13.500752107,3212699,415.92890414,140.44215423,36.521906077,34.793130046,5.3210757453,0.19617514986,33.554463946,0.76486236097,0.3244805579,107657
"10",46,"Cemig","CMIG4",14303024.97,"PN",221.97504089,23.037870292,8.2423336177,12.868454279,4067171,57.56268885,75.762296984,66.879057288,62.007617892,2.5113118722,0.20392694241,137.03475657,0.23352044846,0.1940264163,2148531
"11",264,"Usiminas","USIM5",12921845.045,"PNA",-19.204983136,25.736318227,11.746870102,26.492504913,6008143,142.05927707,44.267600032,202.58640802,77.103871799,5.9416238614,-0.052714972802,19.925902268,0.88641503993,-0.0099569287119,2085939
"12",90,"Engie Brasil","EGIE3",12108367.661,"ON",544.93094839,39.58861183,13.368228213,28.1813395,2247543,115.63267454,93.93794224,74.798481025,36.030588152,8.8426551061,0.47381694849,41.760462442,0.26623205948,0.53172270673,129419
"13",36,"CCR SA","CCRO3",9525295.534,"ON",424.91456236,44.146837697,11.526470857,28.55489687,1675776,228.27671775,232.15525999,50.946317431,174.59057133,3.3928233393,0.23406824218,48.482478079,0.11771767358,0.32016830616,406297
"14",252,"Tim Part S/A","TIMP3",8479057.61,"ON",298.36004899,2.3243961733,1.1093466855,3.5450067316,6017168,-77.506233335,45.55855267,24.609751793,892.20009861,2.4971536127,0.19062556161,15.797845032,0.28138274676,0.32324543938,259795
"15",114,"Grupo Natura","NTCO3",8147925.36,"ON",497.68684951,76.404028785,24.486473177,57.057041072,2463350,614.5818426,68.730554406,584.50047478,192.3092757,5.2967247746,0.23119144939,13.967419235,0.18980366718,0.21479678029,51144
"16",109,"Gerdau Met","GOAU4",7890854.56,"PN",-43.915415125,28.800039536,8.0502310965,16.318268508,10888899,199.53278552,99.785605171,42.403801282,318.37112602,7.9367640196,-0.21813167264,35.106382979,1.1976791479,-0.047644986329,467433
"17",271,"Weg","WEGE3",7720334.1125,"ON",1125.6175059,30.771980139,9.9327290485,33.841441802,1568110,79.97456185,97.311700866,266.18057472,200.15083521,5.8792646147,0.61638068297,4.6961624499,0.05118793783,1.2252727185,0
"18",189,"P.Acucar-Cbd","PCAR3",7292719,"ON",NA,5.0443026053,1.917983275,5.325360242,4753613,12.747355521,61.9657035,39.651729786,51.500709627,23.235610466,NA,13.178982849,0.4044138418,NA,0
