"","id","nome","classe","ticker","retorno_total","mkt_cap","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","size"
"1",1,"Aco Altona","PN","EALT4",120.02880213,92970,NA,13.458082836,33.671486801,59430,486.73437042,-76.535453827,-398.74841972,235.10098851,1.2701263143,1.9289847085,20.054856874,0.53724848472,0.053529310923,3128,"small"
"2",7,"Alpargatas","PN","ALPA4",3232.3748177,737234.28,19.52180239,9.5581717375,12.039371443,728831,130.51612748,36.170848414,96.358434126,98.38026755,5.2650048383,0.7752285246,7.115482953,0.064898199033,0.263395168,97776,"large"
"3",9,"Ambev S/A","ON","ABEV3",716.37939172,56506644.37,17.416902956,8.2281569653,14.15701159,13735622,61.476907868,63.311635046,74.909570114,151.31353295,5.4955841155,0.40145018011,43.305263158,0.046291290008,0.32316212334,1045491,"large"
"4",11,"Ampla Energ","ON","CBEE3",-0.086838776861,3059562.416,17.786309675,6.2709697376,9.9040094478,799053,375.57374185,98.534059727,51.935924989,8.699162649,8.9819427475,NA,49.321579272,1.3614484626,-0.00019305793291,405721,"large"
"5",14,"Atmasa","ON","ATMP3",-99.780393986,603001,31.835469202,9.3092881334,48.254032197,284081,NA,76.540240258,-105.76910531,NA,5945.782353,-0.37558560748,114228.59581,683.73571267,-0.30448153258,64151,"small"
"6",18,"B2W Digital","ON","BTOW3",211.21589781,2622998,19.151680516,2.5085326173,20.957642246,915472,NA,708.33754835,37.456763553,NA,11.569579185,0.21791724079,0.32421588164,0.26076099267,0.095439699211,4270,"large"
"7",19,"Bardella","PN","BDLL4",-89.48386262,214384,6.052810001,1.9219624838,4.7685340087,75688,575.32400208,21.997230159,132.16670894,98.343145771,25.550824411,NA,312.15234953,3.8623733343,-0.57868522598,27562,"small"
"8",23,"Biomm","ON","BIOM3",NA,19503,NA,-60.903861956,-39.049466537,928,NA,-64.333660773,-64.312071692,NA,1.8166198634,NA,0,0.352492987,NA,0,"small"
"9",26,"Bombril","PN","BOBR4",-50.843373494,224369.75,NA,1.4713127652,16.552473282,321632,100.36113,-15.429477216,75.023823137,-18.613832354,2.7125979037,0.57077752329,0,18.276665479,-0.057333962454,0,"small"
"10",27,"Bradespar","PN","BRAP4",254.62043757,6621176.52,27.935385537,9.6525265813,13.678331519,2230339,691.87911588,49.836579157,204.75604716,103.98651398,7.6301419486,0.11062767665,33.779874514,1.4514575016,0.061853692215,372303,"large"
"11",28,"Brasilagro","ON","AGRO3",273.74639051,402530.336,1.6940713574,1.3909305347,-3.7603645588,556,NA,4.3354763113,3.6381546679,NA,3.0545173231,0.2177029188,19.086470343,0.13065566808,0.43531673042,0,"small"
"12",29,"Braskem","PNA","BRKM5",681.2503795,2820661.79,-38.609226671,-10.80790357,4.5773246517,2818733,-743.63290627,325.72167886,10.751418786,63.523033598,13.870990639,0.24389717368,41.196954043,2.6897558137,0.23062329561,0,"large"
"13",30,"BRF SA","ON","BRFS3",166.37733909,6142131.3593,1.6973762073,0.48805000772,7.5975239236,2758879,-71.140537273,130.52026676,13.175504868,303.72489032,14.473729157,0.040804797546,26.471515597,0.46348950887,0.19212966895,290740,"large"
