"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"1",120,"Hercules","HETA4",3213,"PN",43.174603174,NA,-88.016942977,12.943515589,9428,59.090139295,0,NA,-57.555723095,5.6856238434,1.8300128748,0,33.125849567,0.06399247838,294
"2",251,"Tex Renaux","TXRX4",4853.44,"PN",35.795749532,NA,-45.275595054,1.9287671233,20404,-1002.925606,-53.247053081,0.24321653872,16.579771985,1.2481319433,NA,0,15.246236588,0.056857573716,22993
"3",117,"Haga S/A","HAGA4",9916.6666667,"PN",187.95180723,NA,8.6702084174,66.625801887,13672.613,123.48819323,-60.866973955,18.889018926,91.563680957,1.0300668649,0.25280034167,0,0.3651313454,0.099742211347,1300.232
"4",99,"Excelsior","BAUH4",12532.8,"PN",3913.5496985,-35.804916733,-7.157861361,-4.52640534,16183,-700.43896274,24.080362196,64.492307692,27.965714865,13.557969046,NA,3.4043671519,0.25370678233,0.16607518987,1062
"5",245,"Teka","TEKA4",15088.1735,"PN",-80.242493827,NA,-40.54909954,-5.4474282183,57628,-18.180368392,-31.000508698,-10.950745688,-22.155292213,43.875001669,1.2588826628,0,100.62113906,-0.11080656668,62300
"6",32,"Cambuci","CAMB3",16077.6,"ON",NA,NA,-2.445713205,11.784222879,92992,4.6104195481,-194.0275496,23.925826655,80.100911181,NA,NA,NA,0.25529606179,NA,48359
"7",220,"Sansuy","SNSY5",16976.08,"PNA",NA,NA,-18.145077899,0.3076549996,68595,-2038.1222707,-39.602765177,2.2499089632,22.092173026,2.7357024987,1.7306727647,0,4.5456518053,NA,156867
"8",23,"Biomm","BIOM3",19503,"ON",NA,NA,-60.903861956,-39.049466537,928,NA,-64.333660773,-64.312071692,NA,1.8166198634,NA,0,0.352492987,NA,0
"9",76,"Dtcom Direct","DTCY3",24663.37,"ON",-23.57331629,NA,-34.769951718,-14.400983606,4264,53.240572968,-211.74542475,-27.787056367,-5.8807805399,3.6017623641,NA,0,1.1763736043,-0.050055846881,344
"10",95,"Estrela","ESTR4",28453.92,"PN",351.28205128,NA,-20.050928675,2.6538461539,34634,-536.02580645,-44.415422485,1.1374313832,-21.016173702,5.0022756239,0.88259069978,0,18.361832741,0.14832646372,5412
"11",85,"Encorpar","ECPR3",28640.98,"ON",948.22526445,9.2606498746,8.3658146781,5.6090097748,1105,140.53702765,0,-1563.7440758,25.861769558,23.009915108,NA,44.272784416,3.367932095,0.21218407274,637
"12",123,"IGB S/A","IGBR3",34138.65,"ON",19.047619048,NA,-66.668649841,NA,-12032,27.114979534,-63.756355594,-21.033268438,-33.076518351,3.4667588195,0.70303422955,0,9.7269030987,0.015213445722,74787
"13",121,"Hoteis Othon","HOOT4",38582.04,"PN",11.904761904,NA,-4.6772379773,-0.46639305793,64014,54.926691558,-18.869994515,-61.411628579,-0.63242702663,2.8750582061,-0.071566297105,0,0.58639224585,0.0066158245073,303519
"14",182,"Nutriplant","NUTR3",39129.51,"ON",NA,-22.697186983,-4.4424052683,-1.9593028561,6613,NA,80.929123563,-5.7489544678,NA,109.74053371,NA,0,NA,NA,589
"15",178,"Mundial","MNDL3",54037.14,"ON",NA,4.4451807229,0.85185522963,2.682033666,110432,105.62374254,104.16573073,23.195808267,39.858402222,61.856906343,1.5283373915,3.9203501042,23.793024084,NA,15192
"16",243,"Tecnosolo","TCNO4",65600,"PN",-84.262497228,6.3118687292,1.3628657132,9.2330085311,24484,2885.7142857,153.83673604,27.046040804,328.66726714,3.5607984714,0.60543256021,17.25,0.18441931847,-0.19107162799,6651
"17",211,"Recrusul","RCSL4",67642.08,"PN",-99.712778331,NA,1.7225180081,NA,6833,104.79394183,-0.74722655176,49.192100539,9.3735517541,144.83601033,0.47748206387,0,155.66726417,-1.2498919062,0
"18",272,"Wetzel S/A","MWET3",68325.6,"ON",NA,NA,5.8954706702,14.662360264,57833,217.53784358,-603.4921012,51.261394432,96.660234526,22.353036348,NA,0,2.6398647277,NA,6335
"19",221,"Santanense","CTSA3",75516.93,"ON",569.02384253,22.740210573,13.321677472,12.061335399,76566,136.71896638,26.844306903,91.311103438,50.297448874,0.41574643496,NA,134.68217992,1.2168041794,0.15010772935,1039
"20",250,"Terra Santa","TESA3",75786.6,"ON",-79.002483949,-63.627852923,-39.45393038,-17.187710753,-30013,NA,259.40009583,-51.040109778,NA,83.226376192,-0.43071185702,0,183.86447231,-0.16906022275,1485
"21",160,"Mangels Indl","MGEL4",86748.19,"PN",-40.75608354,0.96395803492,0.25470181859,13.333473361,132674,-73.473027854,241.03188587,29.930024176,104.81521636,10.519390228,0.9000696183,33.777166667,2.1306014711,-0.055795873427,6443
"22",232,"Sondotecnica","SOND5",88721.28,"PNA",NA,18.059258131,11.60207477,12.479525727,17705,380.45271423,0,-26.388549485,47.547019963,7.834436971,NA,126.63059335,1.5794396523,NA,5085
